Date,Crypto,Open,High,Low,Close
2019-09-17,LTC,0.26,0.3,0.26,0.29
2019-09-18,LTC,0.29,0.33,0.28,0.31
2019-09-19,LTC,0.31,0.32,0.28,0.3
2019-09-20,LTC,0.3,0.3,0.28,0.29
2019-09-21,LTC,0.29,0.3,0.29,0.29
2019-09-22,LTC,0.29,0.29,0.27,0.27
2019-09-23,LTC,0.27,0.29,0.27,0.28
2019-09-24,LTC,0.28,0.28,0.22,0.24
2019-09-25,LTC,0.24,0.25,0.23,0.25
2019-09-26,LTC,0.24,0.25,0.23,0.24
2019-09-27,LTC,0.24,0.25,0.23,0.24
2019-09-28,LTC,0.24,0.25,0.24,0.24
2019-09-29,LTC,0.24,0.24,0.24,0.24
2019-09-30,LTC,0.24,0.26,0.24,0.25
2019-10-01,LTC,0.25,0.26,0.25,0.25
2019-10-02,LTC,0.25,0.25,0.24,0.25
2019-10-03,LTC,0.25,0.25,0.24,0.25
2019-10-04,LTC,0.25,0.26,0.25,0.25
2019-10-05,LTC,0.25,0.26,0.25,0.25
2019-10-06,LTC,0.25,0.26,0.25,0.25
2019-10-07,LTC,0.25,0.28,0.25,0.27
2019-10-08,LTC,0.27,0.28,0.27,0.27
2019-10-09,LTC,0.27,0.29,0.27,0.28
2019-10-10,LTC,0.28,0.28,0.27,0.27
2019-10-11,LTC,0.27,0.28,0.27,0.27
2019-10-12,LTC,0.27,0.28,0.27,0.27
2019-10-13,LTC,0.27,0.28,0.27,0.28
2019-10-14,LTC,0.28,0.29,0.28,0.29
2019-10-15,LTC,0.29,0.3,0.28,0.29
2019-10-16,LTC,0.29,0.29,0.28,0.28
2019-10-17,LTC,0.28,0.3,0.28,0.3
2019-10-18,LTC,0.3,0.3,0.28,0.29
2019-10-19,LTC,0.29,0.3,0.29,0.29
2019-10-20,LTC,0.29,0.29,0.28,0.29
2019-10-21,LTC,0.29,0.3,0.29,0.29
2019-10-22,LTC,0.29,0.3,0.29,0.29
2019-10-23,LTC,0.29,0.3,0.25,0.27
2019-10-24,LTC,0.27,0.28,0.27,0.28
2019-10-25,LTC,0.28,0.31,0.28,0.3
2019-10-26,LTC,0.3,0.31,0.28,0.29
2019-10-27,LTC,0.29,0.3,0.29,0.3
2019-10-28,LTC,0.3,0.31,0.29,0.3
2019-10-29,LTC,0.3,0.31,0.29,0.3
2019-10-30,LTC,0.3,0.31,0.29,0.3
2019-10-31,LTC,0.3,0.3,0.29,0.29
2019-11-01,LTC,0.29,0.29,0.29,0.29
2019-11-02,LTC,0.29,0.3,0.29,0.3
2019-11-03,LTC,0.3,0.3,0.29,0.29
2019-11-04,LTC,0.29,0.3,0.29,0.3
2019-11-05,LTC,0.3,0.3,0.3,0.3
2019-11-06,LTC,0.3,0.31,0.3,0.31
2019-11-07,LTC,0.31,0.31,0.28,0.29
2019-11-08,LTC,0.29,0.29,0.27,0.28
2019-11-09,LTC,0.28,0.28,0.27,0.28
2019-11-10,LTC,0.28,0.28,0.28,0.28
2019-11-11,LTC,0.28,0.28,0.27,0.27
2019-11-12,LTC,0.27,0.28,0.27,0.27
2019-11-13,LTC,0.27,0.28,0.27,0.27
2019-11-14,LTC,0.27,0.27,0.26,0.27
2019-11-15,LTC,0.27,0.27,0.25,0.26
2019-11-16,LTC,0.26,0.26,0.26,0.26
2019-11-17,LTC,0.26,0.27,0.26,0.27
2019-11-18,LTC,0.27,0.27,0.24,0.25
2019-11-19,LTC,0.25,0.25,0.24,0.25
2019-11-20,LTC,0.25,0.26,0.25,0.25
2019-11-21,LTC,0.25,0.25,0.24,0.24
2019-11-22,LTC,0.24,0.25,0.22,0.23
2019-11-23,LTC,0.23,0.23,0.23,0.23
2019-11-24,LTC,0.23,0.23,0.22,0.23
2019-11-25,LTC,0.23,0.23,0.2,0.22
2019-11-26,LTC,0.22,0.22,0.21,0.22
2019-11-27,LTC,0.22,0.23,0.21,0.23
2019-11-28,LTC,0.23,0.23,0.22,0.23
2019-11-29,LTC,0.23,0.23,0.22,0.23
2019-11-30,LTC,0.23,0.23,0.22,0.23
2019-12-01,LTC,0.23,0.23,0.22,0.22
2019-12-02,LTC,0.22,0.23,0.22,0.22
2019-12-03,LTC,0.22,0.22,0.22,0.22
2019-12-04,LTC,0.22,0.23,0.21,0.22
2019-12-05,LTC,0.22,0.23,0.21,0.22
2019-12-06,LTC,0.22,0.23,0.22,0.22
2019-12-07,LTC,0.22,0.23,0.22,0.23
2019-12-08,LTC,0.23,0.23,0.22,0.23
2019-12-09,LTC,0.23,0.23,0.22,0.22
2019-12-10,LTC,0.22,0.23,0.22,0.22
2019-12-11,LTC,0.22,0.22,0.22,0.22
2019-12-12,LTC,0.22,0.22,0.22,0.22
2019-12-13,LTC,0.22,0.22,0.21,0.22
2019-12-14,LTC,0.22,0.22,0.21,0.22
2019-12-15,LTC,0.22,0.22,0.21,0.22
2019-12-16,LTC,0.22,0.22,0.2,0.2
2019-12-17,LTC,0.2,0.21,0.18,0.18
2019-12-18,LTC,0.18,0.2,0.17,0.2
2019-12-19,LTC,0.2,0.2,0.18,0.19
2019-12-20,LTC,0.19,0.2,0.18,0.19
2019-12-21,LTC,0.19,0.2,0.19,0.19
2019-12-22,LTC,0.19,0.2,0.19,0.2
2019-12-23,LTC,0.2,0.2,0.19,0.19
2019-12-24,LTC,0.19,0.19,0.19,0.19
2019-12-25,LTC,0.19,0.19,0.19,0.19
2019-12-26,LTC,0.19,0.19,0.19,0.19
2019-12-27,LTC,0.19,0.19,0.18,0.19
2019-12-28,LTC,0.19,0.19,0.19,0.19
2019-12-29,LTC,0.19,0.2,0.19,0.2
2019-12-30,LTC,0.2,0.2,0.19,0.19
2019-12-31,LTC,0.19,0.19,0.19,0.19
2020-01-01,LTC,0.19,0.19,0.19,0.19
2020-01-02,LTC,0.19,0.19,0.19,0.19
2020-01-03,LTC,0.19,0.19,0.18,0.19
2020-01-04,LTC,0.19,0.19,0.19,0.19
2020-01-05,LTC,0.19,0.2,0.19,0.2
2020-01-06,LTC,0.2,0.22,0.19,0.22
2020-01-07,LTC,0.22,0.23,0.21,0.21
2020-01-08,LTC,0.21,0.22,0.2,0.21
2020-01-09,LTC,0.21,0.21,0.2,0.2
2020-01-10,LTC,0.2,0.21,0.2,0.21
2020-01-11,LTC,0.21,0.22,0.21,0.21
2020-01-12,LTC,0.21,0.22,0.21,0.21
2020-01-13,LTC,0.21,0.22,0.21,0.21
2020-01-14,LTC,0.21,0.25,0.21,0.23
2020-01-15,LTC,0.23,0.24,0.23,0.24
2020-01-16,LTC,0.24,0.24,0.22,0.23
2020-01-17,LTC,0.23,0.24,0.23,0.24
2020-01-18,LTC,0.24,0.25,0.23,0.25
2020-01-19,LTC,0.25,0.25,0.23,0.23
2020-01-20,LTC,0.23,0.24,0.22,0.23
2020-01-21,LTC,0.23,0.24,0.23,0.24
2020-01-22,LTC,0.24,0.24,0.23,0.24
2020-01-23,LTC,0.24,0.24,0.22,0.23
2020-01-24,LTC,0.23,0.23,0.21,0.22
2020-01-25,LTC,0.22,0.22,0.22,0.22
2020-01-26,LTC,0.22,0.23,0.22,0.23
2020-01-27,LTC,0.23,0.23,0.23,0.23
2020-01-28,LTC,0.23,0.24,0.23,0.24
2020-01-29,LTC,0.24,0.24,0.23,0.24
2020-01-30,LTC,0.24,0.25,0.23,0.24
2020-01-31,LTC,0.24,0.25,0.23,0.24
2020-02-01,LTC,0.24,0.24,0.24,0.24
2020-02-02,LTC,0.24,0.26,0.24,0.26
2020-02-03,LTC,0.26,0.26,0.25,0.25
2020-02-04,LTC,0.25,0.27,0.25,0.26
2020-02-05,LTC,0.26,0.28,0.26,0.28
2020-02-06,LTC,0.28,0.29,0.27,0.28
2020-02-07,LTC,0.28,0.29,0.28,0.28
2020-02-08,LTC,0.28,0.28,0.26,0.28
2020-02-09,LTC,0.28,0.29,0.28,0.28
2020-02-10,LTC,0.28,0.28,0.27,0.27
2020-02-11,LTC,0.27,0.28,0.27,0.28
2020-02-12,LTC,0.28,0.31,0.28,0.3
2020-02-13,LTC,0.3,0.34,0.3,0.32
2020-02-14,LTC,0.32,0.34,0.31,0.34
2020-02-15,LTC,0.34,0.35,0.3,0.31
2020-02-16,LTC,0.31,0.32,0.27,0.28
2020-02-17,LTC,0.28,0.3,0.27,0.28
2020-02-18,LTC,0.28,0.3,0.28,0.3
2020-02-19,LTC,0.3,0.31,0.27,0.28
2020-02-20,LTC,0.28,0.28,0.26,0.27
2020-02-21,LTC,0.27,0.28,0.27,0.27
2020-02-22,LTC,0.27,0.28,0.27,0.28
2020-02-23,LTC,0.28,0.29,0.27,0.28
2020-02-24,LTC,0.28,0.29,0.26,0.27
2020-02-25,LTC,0.27,0.27,0.25,0.26
2020-02-26,LTC,0.26,0.26,0.22,0.23
2020-02-27,LTC,0.23,0.25,0.22,0.24
2020-02-28,LTC,0.24,0.24,0.23,0.24
2020-02-29,LTC,0.24,0.24,0.23,0.23
2020-03-01,LTC,0.23,0.24,0.22,0.22
2020-03-02,LTC,0.23,0.24,0.23,0.24
2020-03-03,LTC,0.24,0.24,0.23,0.23
2020-03-04,LTC,0.23,0.24,0.23,0.23
2020-03-05,LTC,0.23,0.24,0.23,0.24
2020-03-06,LTC,0.24,0.25,0.24,0.24
2020-03-07,LTC,0.24,0.25,0.24,0.24
2020-03-08,LTC,0.24,0.24,0.2,0.21
2020-03-09,LTC,0.21,0.21,0.2,0.2
2020-03-10,LTC,0.2,0.22,0.2,0.21
2020-03-11,LTC,0.21,0.21,0.2,0.21
2020-03-12,LTC,0.21,0.21,0.14,0.16
2020-03-13,LTC,0.16,0.17,0.12,0.15
2020-03-14,LTC,0.15,0.16,0.15,0.15
2020-03-15,LTC,0.15,0.16,0.14,0.15
2020-03-16,LTC,0.15,0.16,0.13,0.14
2020-03-17,LTC,0.14,0.15,0.14,0.15
2020-03-18,LTC,0.15,0.15,0.14,0.15
2020-03-19,LTC,0.15,0.17,0.14,0.16
2020-03-20,LTC,0.16,0.18,0.15,0.15
2020-03-21,LTC,0.15,0.16,0.15,0.16
2020-03-22,LTC,0.16,0.16,0.15,0.15
2020-03-23,LTC,0.15,0.16,0.15,0.16
2020-03-24,LTC,0.16,0.16,0.16,0.16
2020-03-25,LTC,0.16,0.17,0.16,0.16
2020-03-26,LTC,0.16,0.17,0.16,0.17
2020-03-27,LTC,0.17,0.18,0.17,0.18
2020-03-28,LTC,0.18,0.19,0.17,0.18
2020-03-29,LTC,0.18,0.18,0.16,0.16
2020-03-30,LTC,0.16,0.18,0.16,0.17
2020-03-31,LTC,0.17,0.18,0.17,0.18
2020-04-01,LTC,0.18,0.18,0.17,0.17
2020-04-02,LTC,0.17,0.19,0.17,0.18
2020-04-03,LTC,0.18,0.18,0.18,0.18
2020-04-04,LTC,0.18,0.18,0.18,0.18
2020-04-05,LTC,0.18,0.18,0.18,0.18
2020-04-06,LTC,0.18,0.2,0.18,0.19
2020-04-07,LTC,0.19,0.21,0.19,0.19
2020-04-08,LTC,0.19,0.2,0.19,0.2
2020-04-09,LTC,0.2,0.2,0.19,0.2
2020-04-10,LTC,0.2,0.2,0.18,0.19
2020-04-11,LTC,0.19,0.19,0.19,0.19
2020-04-12,LTC,0.19,0.2,0.19,0.19
2020-04-13,LTC,0.19,0.19,0.18,0.19
2020-04-14,LTC,0.19,0.19,0.18,0.19
2020-04-15,LTC,0.19,0.19,0.18,0.19
2020-04-16,LTC,0.19,0.19,0.17,0.19
2020-04-17,LTC,0.19,0.19,0.19,0.19
2020-04-18,LTC,0.19,0.2,0.19,0.19
2020-04-19,LTC,0.19,0.2,0.19,0.19
2020-04-20,LTC,0.19,0.19,0.18,0.18
2020-04-21,LTC,0.18,0.19,0.18,0.18
2020-04-22,LTC,0.18,0.19,0.18,0.19
2020-04-23,LTC,0.19,0.2,0.19,0.2
2020-04-24,LTC,0.2,0.2,0.19,0.19
2020-04-25,LTC,0.19,0.2,0.19,0.19
2020-04-26,LTC,0.19,0.2,0.19,0.2
2020-04-27,LTC,0.2,0.2,0.19,0.2
2020-04-28,LTC,0.2,0.21,0.2,0.21
2020-04-29,LTC,0.21,0.23,0.21,0.23
2020-04-30,LTC,0.23,0.24,0.21,0.21
2020-05-01,LTC,0.21,0.22,0.21,0.22
2020-05-02,LTC,0.22,0.23,0.22,0.22
2020-05-03,LTC,0.22,0.23,0.22,0.22
2020-05-04,LTC,0.22,0.22,0.21,0.22
2020-05-05,LTC,0.22,0.22,0.21,0.22
2020-05-06,LTC,0.22,0.22,0.22,0.22
2020-05-07,LTC,0.22,0.22,0.21,0.22
2020-05-08,LTC,0.22,0.22,0.21,0.22
2020-05-09,LTC,0.22,0.23,0.22,0.22
2020-05-10,LTC,0.22,0.22,0.18,0.2
2020-05-11,LTC,0.2,0.2,0.18,0.19
2020-05-12,LTC,0.19,0.2,0.19,0.2
2020-05-13,LTC,0.2,0.2,0.19,0.2
2020-05-14,LTC,0.2,0.21,0.2,0.2
2020-05-15,LTC,0.2,0.2,0.2,0.2
2020-05-16,LTC,0.2,0.2,0.2,0.2
2020-05-17,LTC,0.2,0.2,0.2,0.2
2020-05-18,LTC,0.2,0.21,0.2,0.2
2020-05-19,LTC,0.2,0.21,0.2,0.2
2020-05-20,LTC,0.2,0.21,0.2,0.2
2020-05-21,LTC,0.2,0.2,0.19,0.19
2020-05-22,LTC,0.19,0.2,0.19,0.2
2020-05-23,LTC,0.2,0.2,0.2,0.2
2020-05-24,LTC,0.2,0.2,0.19,0.2
2020-05-25,LTC,0.2,0.2,0.19,0.2
2020-05-26,LTC,0.2,0.2,0.19,0.2
2020-05-27,LTC,0.2,0.2,0.19,0.2
2020-05-28,LTC,0.2,0.2,0.2,0.2
