Date,Crypto,Open,High,Low,Close
2021-09-02,LTC,180.11,187.6,179.55,187.6
2021-09-03,LTC,187.74,217.63,180.08,212.41
2021-09-04,LTC,212.33,225.07,207.03,213.97
2021-09-05,LTC,214.16,229.23,210.76,225.28
2021-09-06,LTC,225.73,232.41,216.78,222.69
2021-09-07,LTC,222.69,223.38,164.33,177.04
2021-09-08,LTC,177.6,188.52,169.9,180.19
2021-09-09,LTC,179.87,188.64,176.85,180.39
2021-09-10,LTC,180.39,187.27,171.54,173.5
2021-09-11,LTC,173.4,186.0,171.27,182.45
2021-09-12,LTC,182.45,185.83,175.37,176.94
2021-09-13,LTC,177.74,236.12,171.03,183.08
2021-09-14,LTC,183.36,187.87,176.31,181.51
2021-09-15,LTC,181.48,185.96,179.61,184.39
2021-09-16,LTC,184.23,195.11,181.75,182.28
2021-09-17,LTC,182.14,190.15,178.25,179.14
2021-09-18,LTC,179.0,185.51,178.07,179.69
2021-09-19,LTC,179.69,181.6,174.69,177.01
2021-09-20,LTC,177.01,177.62,153.88,157.87
2021-09-21,LTC,158.4,162.04,150.56,151.32
2021-09-22,LTC,151.32,161.8,145.0,160.36
2021-09-23,LTC,160.36,164.72,157.45,163.6
2021-09-24,LTC,163.6,166.38,142.04,151.37
2021-09-25,LTC,151.36,155.97,149.06,151.7
2021-09-26,LTC,151.34,153.47,142.37,152.57
2021-09-27,LTC,152.57,154.91,147.19,147.75
2021-09-28,LTC,147.75,149.85,142.27,144.32
2021-09-29,LTC,144.32,149.82,139.99,143.34
2021-09-30,LTC,143.34,154.37,143.01,151.23
2021-10-01,LTC,151.23,167.17,151.22,166.14
2021-10-02,LTC,166.14,172.63,164.78,170.89
2021-10-03,LTC,170.89,174.9,166.02,171.0
2021-10-04,LTC,171.0,171.54,161.55,168.08
2021-10-05,LTC,168.08,175.4,166.0,174.66
2021-10-06,LTC,174.66,182.86,164.0,181.43
2021-10-07,LTC,181.43,186.93,173.43,179.96
2021-10-08,LTC,179.96,183.38,174.51,175.38
