Date,Crypto,Open,High,Low,Close
2018-10-07,ETH,224.02,225.32,220.43,223.16
2018-10-08,ETH,222.71,230.0,222.6,229.18
2018-10-09,ETH,229.23,229.23,224.75,226.37
2018-10-10,ETH,226.3,226.81,221.75,223.58
2018-10-11,ETH,223.58,223.59,192.65,197.54
2018-10-12,ETH,197.55,197.85,185.01,195.08
2018-10-13,ETH,195.0,199.26,192.46,196.53
2018-10-14,ETH,196.11,199.07,193.44,194.92
2018-10-15,ETH,194.95,219.3,189.82,201.41
2018-10-16,ETH,201.41,207.42,200.6,203.96
2018-10-17,ETH,204.22,207.57,201.27,202.96
2018-10-18,ETH,202.96,205.26,197.35,198.72
2018-10-19,ETH,198.62,201.19,196.48,199.7
2018-10-20,ETH,199.69,203.98,198.56,202.39
2018-10-21,ETH,202.39,205.65,202.06,202.88
2018-10-22,ETH,202.85,203.29,199.5,201.54
2018-10-23,ETH,201.36,202.27,197.83,201.26
2018-10-24,ETH,201.32,202.9,200.22,201.36
2018-10-25,ETH,201.37,201.6,198.2,199.86
2018-10-26,ETH,199.86,204.05,198.44,200.48
2018-10-27,ETH,200.72,201.8,200.08,201.26
2018-10-28,ETH,201.26,203.09,201.01,201.95
2018-10-29,ETH,201.73,203.1,191.1,193.22
2018-10-30,ETH,193.32,195.35,192.88,194.7
2018-10-31,ETH,194.7,198.89,191.8,196.45
2018-11-01,ETH,196.45,197.69,195.71,197.24
2018-11-02,ETH,197.25,201.53,197.07,200.14
2018-11-03,ETH,200.14,200.19,197.75,199.64
2018-11-04,ETH,199.64,217.02,197.87,210.48
2018-11-05,ETH,210.32,211.06,205.64,206.81
2018-11-06,ETH,206.8,216.4,206.8,215.88
2018-11-07,ETH,215.87,223.03,215.52,217.0
2018-11-08,ETH,217.34,218.39,210.51,212.62
2018-11-09,ETH,212.44,212.77,206.33,207.86
2018-11-10,ETH,207.86,212.71,207.27,211.87
2018-11-11,ETH,211.68,211.95,206.58,207.92
2018-11-12,ETH,208.1,210.98,207.59,207.98
2018-11-13,ETH,207.98,208.85,202.74,203.52
2018-11-14,ETH,203.52,205.02,165.61,175.99
2018-11-15,ETH,175.6,180.96,165.01,175.05
2018-11-16,ETH,175.05,179.75,170.69,170.96
2018-11-17,ETH,170.96,173.87,169.33,172.07
2018-11-18,ETH,172.07,179.34,171.51,174.15
2018-11-19,ETH,174.15,175.93,142.62,147.5
2018-11-20,ETH,147.24,149.8,121.72,131.25
2018-11-21,ETH,131.25,137.18,122.25,132.05
2018-11-22,ETH,132.05,136.73,126.74,128.76
2018-11-23,ETH,128.76,129.05,116.27,120.11
2018-11-24,ETH,120.1,125.76,108.99,111.0
2018-11-25,ETH,110.58,118.79,98.04,115.91
2018-11-26,ETH,115.95,116.95,102.8,104.23
2018-11-27,ETH,104.51,109.4,99.0,108.71
2018-11-28,ETH,108.88,125.41,107.4,120.83
2018-11-29,ETH,120.6,122.92,113.1,115.12
2018-11-30,ETH,115.0,119.25,109.4,111.37
2018-12-01,ETH,111.37,119.44,109.84,116.64
2018-12-02,ETH,116.64,119.7,113.98,116.39
2018-12-03,ETH,116.39,116.61,105.0,108.4
2018-12-04,ETH,108.46,112.0,105.0,108.93
2018-12-05,ETH,108.92,109.2,100.83,101.65
2018-12-06,ETH,101.65,103.0,93.88,94.97
2018-12-07,ETH,94.97,96.67,81.02,93.09
2018-12-08,ETH,93.48,97.43,83.71,85.51
2018-12-09,ETH,85.65,98.27,85.01,93.12
2018-12-10,ETH,92.81,94.6,87.44,89.12
2018-12-11,ETH,89.11,90.85,85.2,87.89
2018-12-12,ETH,87.89,91.15,85.5,89.93
2018-12-13,ETH,89.93,90.3,83.18,84.31
2018-12-14,ETH,84.31,85.96,80.92,81.72
2018-12-15,ETH,81.72,84.15,81.03,83.44
2018-12-16,ETH,83.56,86.77,82.29,83.84
2018-12-17,ETH,83.8,96.74,83.2,94.0
2018-12-18,ETH,94.0,96.0,91.54,93.81
2018-12-19,ETH,93.81,107.57,93.81,98.82
